token,freq_in_chunk
natura,5560
produto,4607
pele,3194
produtos,2704
pode,2427
sempre,2141
ver,2119
marca,1960
presente,1932
comprar,1886
embalagem,1858
exemplo,1825
boticario,1785
nome,1751
legal,1738
questao,1683
tempo,1646
loja,1641
gosto,1632
fica,1624
depois,1597
vem,1585
quer,1553
hoje,1536
linha,1517
perfume,1508
pelo,1472
parece,1420
sua,1332
compra,1283
propaganda,1270
atencao,1254
dar,1237
achei,1215
essas,1213
bastante,1208
conta,1208
quero,1199
seu,1132
entendi,1102
usar,1095
idade,1087
diferente,1076
ficar,1066
hidratante,1035
dessa,1033
passa,1029
casa,1020
duas,1017
vendo,1001
melhor,998
seria,998
acha,989
dois,985
uso,976
pouquinho,961
parte,949
pela,947
revista,918
dentro,916
nesse,913
ideia,908
passar,907
marcas,906
mundo,887
consultora,882
mae,876
corpo,872
creme,862
gosta,834
sabonete,833
ficou,831
fosse,825
natural,812
seja,807
saber,804
verdade,800
mulher,789
tres,784
cliente,783
avon,783
vende,778
desse,773
natureza,773
impressao,772
relacao,769
momento,763
alguem,761
nessa,750
precisa,749
tao,738
vender,735
cara,734
tecnologia,728
traz,727
cheiro,721
hora,718
trabalho,718
imagem,717
usa,717
gostei,706
novo,704
entender,703
vejo,696
cabelo,689
disso,686
preco,685
chama,684
cuidado,681
primeiro,673
pedido,670
talvez,668
deu,667
pergunta,667
interessante,666
vao,662
nunca,654
cor,650
compro,642
passo,642
sensacao,636
importante,633
posso,628
teve,626
viu,624
primeira,604
pensando,603
palavra,595
faco,594
fazendo,592
mostra,591
poder,588
olhar,586
negra,584
ponto,581
transmite,573
cabeca,572
deixar,570
site,569
perfumaria,568
mostrar,568
caixa,567
rosto,564
vontade,560
acaba,560
lugar,557
experiencia,553
comecar,544
vida,541
sentido,538
igual,533
clientes,532
promocao,529
banho,528
falo,524
shampoo,523
kit,521
pegar,520
qualquer,513
pensar,507
acredito,502
lembra,502
otimo,498
oleo,494
noite,493
alem,490
acham,490
negocio,489
valor,481
numa,480
venda,477
mercado,477
facil,473
refil,472
mulheres,467
qualidade,463
ecos,460
maior,460
veio,456
problema,454
olhando,452
exatamente,451
num,437
grande,435
varias,434
chamou,432
daqui,428
hidratacao,427
claro,427
desculpa,423
lembro,421
final,420
bonita,420
pensa,419
cores,419
manda,418
mensagem,418
diferenca,416
entrar,415
maquiagem,414
semana,413
cuidar,410
embalagens,409
chega,408
passou,407
tive,406
geralmente,404
dificil,403
trazer,401
amiga,401
lider,401
mao,400
chegar,400
lojas,400
comprei,396
fora,394
shopping,393
poderia,393
foto,392
presentes,392
sentir,392
lado,392
maes,385
fiquei,375
normalmente,375
avo,371
diferentes,367
atras,366
formato,365
propagandas,365
bonito,365
pedir,365
remete,365
falaram,364
homem,361
falta,360
trouxe,360
reais,360
sendo,359
fusao,359
inovacao,356
chegou,354
conhece,353
fiz,353
cima,351
ana,350
mudou,350
sai,348
tenha,347
caro,347
aplicativo,347
fragrancia,346
sair,343
fico,341
entrega,340
endereco,340
simples,338
palavras,338
informacao,335
principalmente,333
usando,333
tivesse,333
usaria,332
espaco,330
kits,330
empresa,329
sofisticacao,327
acido,326
trabalha,325
plastico,325
publico,324
digital,323
perfumes,322
ambiente,322
passando,322
entra,321
presentear,320
preciso,320
conhecer,319
duvida,318
whatsapp,318
conversa,317
ajuda,315
filho,315
base,314
sente,312
agua,311
quase,309
geral,308
diz,307
junto,307
disse,307
especifico,303
pontos,301
internet,299
deve,298
fato,298
rapido,297
direto,296
tirar,296
visual,295
acabou,293
conseguir,292
filhos,292
certeza,292
ninguem,289
comprando,287
varios,286
papel,286
grupo,284
amanha,284
roupa,283
nova,283
sera,282
logo,281
conheco,281
falava,280
consumidor,279
dessas,279
resultado,277
essencial,276
online,275
tiver,275
inclusive,274
senhora,273
sacola,273
olho,272
muda,271
trabalhar,270
frente,269
opcao,266
amostra,265
causa,264
perguntar,264
comigo,264
costuma,262
cuidados,262
combina,262
autocuidado,259
comeca,257
pagar,256
comecei,255
mes,255
escolher,255
imagens,254
quiser,253
natal,253
ajudar,252
comprou,252
levar,252
mostrando,251
pega,251
achou,250
amazonia,250
deus,249
ouvir,248
bacana,247
dando,246
mudar,246
quatro,245
opcoes,245
nisso,244
forte,244
filha,240
bebe,240
vendendo,240
comecou,238
aniversario,237
pronto,236
beneficio,235
familia,234
ruim,232
troca,231
teria,231
condicionador,230
coloca,230
existe,230
catalogo,229
contato,227
desconto,227
propria,227
rotina,226
querem,226
fazem,226
ouvindo,225
acontece,223
material,222
feito,221
querer,221
barra,221
enquanto,220
vendas,219
dou,218
conversar,218
informacoes,217
abrir,217
processo,217
consultoras,217
frase,217
dormir,217
sinto,216
bio,216
aparece,215
prazer,215
concordo,214
proposta,214
dinheiro,213
compraria,212
vegano,212
fisica,209
mora,209
tendo,209
energia,209
gostam,209
papo,208
ultima,208
cinco,208
manha,207
mandar,207
contar,206
marido,206
trocar,205
tipos,205
livre,204
design,204
